Serial_Num,Country_Name,Population,Land_Area
168,Suriname,"586,632","156,000"
169,Sweden,"10,099,265","410,340"
170,Switzerland,"8,654,622","39,516"
171,Syria,"17,500,658","183,630"
172,Tajikistan,"9,537,645","139,960"
173,Tanzania,"59,734,218","885,800"
174,Thailand,"69,799,978","510,890"
175,Timor-Leste,"1,318,445","14,870"
176,Togo,"8,278,724","54,390"
177,Tonga,"105,695",720
178,Trinidad and Tobago,"1,399,488","5,130"
179,Tunisia,"11,818,619","155,360"
180,Turkey,"84,339,067","769,630"
181,Turkmenistan,"6,031,200","469,930"
182,Tuvalu,"11,792",30
183,Uganda,"45,741,007","199,810"
184,Ukraine,"43,733,762","579,320"
185,United Arab Emirates,"9,890,402","83,600"
186,United Kingdom,"67,886,011","241,930"
187,United States of America,"331,002,651","9,147,420"
188,Uruguay,"3,473,730","175,020"
189,Uzbekistan,"33,469,203","425,400"
190,Vanuatu,"307,145","12,190"
191,Venezuela,"28,435,940","882,050"
192,Vietnam,"97,338,579","310,070"
193,Yemen,"29,825,964","527,970"
194,Zambia,"18,383,955","743,390"
195,Zimbabwe,"14,862,924","386,850"
